"Enseigne","Nombre d'établissement"
"NOURA",2
"NO SCRUM NO WIN",2
"NOOR",2
"NOON",2
"NOODLE HOUSE",2
"NOIR",2
"NOGLU",2
"NINASUSHI",2
"NINA'S",2
"NEW JAWAD",2
"NEW HONG KONG",2
"NEKOTEA",2
"NATUMI",2
"NAPOLI GANG",2
"NAPOLI CAFFE",2
"NAMPLA",2
"NAKAGAWA",2
"NABAB",2
"NAAN STOP",2
"MUSCADE",2
"MUCHA CAFE",2
"MOUSTACHE",2
"MONKEY",2
"MOMOKO",2
"MOMO HOUSE",2
"MOMEN’TEA",2
"MIYAKO",2
"MIRANO",2
"MIMOSA",2
"MEZZENCORE",2
"MEZZE DE BEYROUTH",2
"MEZAIA",2
"MERSEA",2
"MERE MICHEL",2
"MELT",2
"MELODIE",2
"MEKONG",2
"MEE",2
"MEDUSA",2
"MED'EAT",2
"MC CAFE",2
"MATTEO",2
"MASTER POULET",2
"MARMARIS",2
"MARIETTE",2
"MARIA",2
"MARCELLO",2
"MAMMA ROMA",2
"MAMIE",2
"MAM",2
"MALIBU",2
"MALAK AL TAWOUK",2
"MAKER",2
"MAITRE KEBABIER",2
"MAISON SAUVAGE",2
"MAISON NOUILLES",2
"MAISON DE LA TRUFFE",2
"MAISON DE LA POUTINE",2
"MADEMOISELLE",2
"MACHI MACHI",2
"L’ATELIER 16",2
"LYOOM",2
"LUIGI PEPONE",2
"LUCIEN",2
"LOUIS",2
"LOS POLLOS",2
"L'ORIENT DES CHAMPS",2
"LOLA",2
"L'OFFICE",2
"LITTLE BAOBEI",2
"LIEU-DIT",2
"L'IDEAL BAR",2
"L'HORIZON",2
"LE ZINC",2
"L'EXCUSE",2
"LE WIRI WIRI",2
"LE WILSON",2
"LE WELCOME",2
"LE VOLTAIRE",2
"LE VENDOME",2
"L'EVASION",2
"LE VALENTIN",2
"LE TUBE",2
"LE TROQUET",2
"LE TRAIT D'UNION",2
"LE TOURNESOL",2
"LE TOUCAN",2
"LE TOUAREG",2
"L'ETOILE DU LIBAN",2
"L'ETOILE DU KASHMIR",2
"L'ETOILE D'OR",2
"LE TERMINUS",2
"LE TEMPS DES CERISES",2
"LE TAIS",2
"LES VOISINS",2
"LES TROIS FRERES",2
"L'ESSENTIEL",2
"L'ESPLANADE",2
"L'ESPERANCE",2
"LES PATIOS",2
"LE SOLEIL LEVANT",2
"LES INITIES",2
"LE SIMPLON",2
"LE SHIFTER",2
"LES GAMINS",2
"LES FUNAMBULES",2
"LES FONTAINES",2
"LES FONDUS DE LA RACLETTE",2
