"Code ISO_3","Numéro","Continent rattaché","State","État","Superficie 2007","Superficie 2012","Pop 2007","Pop 2008","Pop 2009","Pop 2010","Pop 2011","Pop 2012","Pop 2013","Pop 2014","Pop 2015","Pop 2016","Pop 2017","Pop 2018","Pop 2019","Pop 2020","Pop 2021","Pop 2022","Pop 2023","Pop 2024","Pop 2025","Pop 2026","Densité 2007","Densité 2008","Densité 2009","Densité 2010","Densité 2011","Densité 2012","Densité 2013","Densité 2014","Densité 2015","Densité 2016","Densité 2017","Densité 2018","Densité 2019","Densité 2020","Densité 2021","Densité 2022","Densité 2023","Densité 2024","Densité 2025","Densité 2026"
"are",51,"Asie","United Arab Emirates","Émirats arabes unis",84000,84000,4900000,4400000,4500000,5100000,4700000,8100000,8100000,9300000,9300000,9600000,9300000,9400000,9500000,9800000,9900000,9900000,9400000,9500000,11000000,11300000,58,52,54,61,56,96,96,111,111,114,111,112,113,117,118,118,112,113,131,135
"ecu",52,"Amérique","Ecuador","Équateur",284000,284000,13300000,13500000,13800000,13600000,13800000,14700000,14900000,15800000,15800000,16300000,16400000,16600000,16900000,17400000,17600000,17800000,18000000,18100000,18100000,18200000,47,48,49,48,49,52,52,56,56,57,58,58,60,61,62,63,63,64,64,64
"eri",53,"Afrique","Eritrea","Érythrée",118000,118000,4600000,4900000,5000000,5100000,5200000,5900000,5600000,5800000,5800000,5200000,5300000,5500000,5200000,3500000,3500000,3600000,3700000,3700000,3500000,3600000,39,42,42,43,44,50,47,49,49,44,45,47,44,30,30,31,31,31,30,31
"esp",54,"Europe","Spain","Espagne",507000,507000,45500000,45300000,46500000,46900000,45300000,46200000,46700000,46600000,46600000,46400000,46100000,46100000,46400000,46700000,46700000,46700000,47600000,47500000,47900000,47800000,90,89,92,93,89,91,92,92,92,92,91,91,92,92,92,92,94,94,94,94
"est",55,"Europe","Estonia","Estonie",45000,45000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
"fsm",56,"Océanie","Micronesia","États fédérés de Micronésie",702,702,,,,110000,110000,100000,100000,110000,110000,100000,105000,106000,106000,114000,115000,116000,114000,115000,113000,114000,,,,157,157,142,142,157,157,142,150,151,151,162,164,165,162,164,161,162
"usa",57,"Amérique","United States of America","États-Unis",9640000,9640000,299100000,302200000,304500000,304800000,317000000,311700000,315800000,316200000,316200000,321200000,324100000,326500000,326800000,329100000,331000000,332000000,338000000,340000000,345400000,347000000,31,31,32,32,33,32,33,33,33,33,34,34,34,34,34,34,35,35,36,36
"eth",58,"Afrique","Ethiopia","Éthiopie",1106000,1106000,74800000,77400000,79100000,8280000,85000000,87100000,8650000,89200000,89200000,98100000,101800000,104300000,107500000,112100000,115000000,117000000,123400000,126500000,132000000,135400000,68,70,72,7,77,79,8,81,81,89,92,94,97,101,104,106,112,114,119,122
"fji",59,"Océanie","Fiji","Fidji",18000,18000,800000,900000,900000,800000,900000,900000,900000,900000,900000,900000,898000,903000,912000,890000,900000,903000,930000,936000,929000,933000,44,50,50,44,50,50,50,50,50,50,50,50,51,49,50,50,52,52,52,52
"fin",60,"Europe","Finland","Finlande",339000,339000,5300000,5300000,5300000,5300000,5300000,5400000,5400000,5400000,5400000,5500000,5500000,5500000,5600000,5500000,5500000,5500000,5500000,5500000,5600000,5600000,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,17,17
"fra",61,"Europe","France","France",550000,550000,63601000,63962000,64300000,64669000,64640000,65700000,65900000,66300000,66300000,66800000,66900000,67300000,67600000,67600000,67700000,67850000,67160000,67180000,68980000,69100000,116,116,117,118,118,119,120,121,121,121,122,122,123,123,123,123,122,122,125,126
"gab",62,"Afrique","Gabon","Gabon",268000,268000,1400000,1300000,1400000,1500000,1500000,1500000,1600000,1600000,1600000,800000,1800000,1800000,2100000,2200000,2200000,2200000,2400000,2400000,2500000,2500000,5,5,5,6,6,6,6,6,6,3,7,7,8,8,8,8,9,9,9,9
"gmb",63,"Afrique","Gambia","Gambie",11000,11000,1500000,1500000,1600000,1600000,1700000,1800000,1800000,1900000,1900000,2000000,2100000,2100000,2200000,2300000,2400000,2400000,2700000,2700000,2700000,2800000,136,136,145,145,155,164,164,173,173,182,191,191,200,209,218,218,245,245,245,255
"geo",64,"Europe","Georgia","Géorgie",70000,70000,4400000,4500000,4600000,4600000,4200000,4300000,4300000,4500000,4500000,3800000,4000000,4000000,3900000,4000000,4000000,3900000,3700000,3700000,3800000,3800000,63,64,66,66,60,61,61,64,64,54,57,57,56,57,57,56,53,53,54,54
"gha",65,"Afrique","Ghana","Ghana",239000,239000,22600000,23000000,23900000,23800000,24300000,25000000,25500000,26100000,26100000,27700000,28000000,28700000,29500000,30400000,31000000,31700000,33500000,34100000,34400000,35000000,95,96,100,100,102,105,107,109,109,116,117,120,123,127,130,133,140,143,144,146
"grc",66,"Europe","Greece","Grèce",132000,132000,11100000,11200000,11200000,11300000,11200000,11300000,11400000,11100000,11100000,11500000,11000000,10900000,11100000,10500000,10400000,10300000,10400000,10300000,10000000,9900000,84,85,85,86,85,86,86,84,84,87,83,83,84,80,79,78,79,78,76,75
"grd",67,"Amérique","Grenada","Grenade",334,334,,,,,,,,110000,110000,110000,107000,108000,108000,112000,113000,113000,125000,126000,117000,117000,,,,,,,,329,329,329,320,323,323,335,338,338,374,377,350,350
"gtm",68,"Amérique","Guatemala","Guatemala",109000,109000,13000000,13400000,13700000,14000000,14400000,14700000,15100000,15400000,15400000,16200000,16700000,17000000,17200000,17600000,17900000,18200000,17800000,18000000,18400000,18600000,119,123,126,128,132,135,139,141,141,149,153,156,158,161,164,167,163,165,169,171
"gin",69,"Afrique","Guinea","Guinée",246000,246000,9800000,10100000,10300000,10100000,10300000,10200000,10500000,11800000,11800000,11000000,12900000,13300000,13000000,12800000,13000000,13400000,13800000,14100000,14700000,15100000,40,41,42,41,42,41,43,48,48,45,52,54,53,52,53,54,56,57,60,61
"gnb",70,"Afrique","Guinea-Bissau","Guinée-Bissau",36000,36000,1400000,1700000,1700000,1600000,1600000,1600000,1600000,1700000,1700000,1800000,1900000,1900000,1900000,1900000,2000000,2000000,2100000,2100000,2200000,2200000,39,47,47,44,44,44,44,47,47,50,53,53,53,53,56,56,58,58,61,61
"gnq",71,"Afrique","Equatorial Guinea","Guinée-Équatoriale",28000,28000,500000,500000,600000,700000,700000,700000,700000,800000,800000,1800000,870000,894000,1300000,1400000,1400000,1400000,1700000,1700000,1800000,1900000,18,18,21,25,25,25,25,29,29,64,31,32,46,50,50,50,61,61,64,68
"guy",72,"Amérique","Guyana","Guyana",215000,215000,700000,800000,800000,800000,800000,800000,800000,800000,800000,700000,771000,774000,778000,783000,787000,790000,808700,814000,831000,836000,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
"hti",73,"Amérique","Haiti","Haïti",28000,28000,8500000,9000000,9100000,9200000,10200000,10100000,10300000,10400000,10400000,10900000,10800000,11000000,11100000,11300000,11400000,11500000,11600000,11700000,11700000,11900000,304,321,325,329,364,361,368,371,371,389,386,393,396,404,407,411,414,418,418,425
"hnd",74,"Amérique","Honduras","Honduras",112000,112000,7400000,7100000,7300000,7500000,7600000,7800000,7900000,8600000,8600000,8300000,8200000,8300000,9400000,9700000,9900000,10000000,10400000,10600000,10800000,11000000,66,63,65,67,68,70,71,77,77,74,73,74,84,87,88,89,93,95,96,98
"hun",75,"Europe","Hungary","Hongrie",93028,93028,10100000,10100000,10000000,10000000,10000000,10000000,9900000,9900000,9900000,9800000,9800000,9800000,9700000,9700000,9700000,9600000,9700000,10100000,9600000,9600000,109,109,107,107,107,107,106,106,106,105,105,105,104,104,104,103,104,109,103,103
"ind",76,"Asie","India","Inde",3291000,3291000,1121800000,1131900000,1149300000,1171000000,1214000000,1241300000,1258000000,1280000000,1280000000,1310000000,1320000000,1340000000,1360000000,1370000000,1380000000,1390000000,1410000000,1428000000,1450000000,1463000000,341,344,349,356,369,377,382,389,389,398,401,407,413,416,419,422,428,434,441,445
"idn",77,"Asie","Indonesia","Indonésie",1907000,1907000,225500000,231600000,239900000,243300000,232500000,238200000,244800000,248500000,248500000,255700000,260600000,263500000,266400000,270600000,273500000,276300000,275500000,277500000,283400000,285700000,118,121,126,128,122,125,128,130,130,134,137,138,140,142,143,145,144,146,149,150
"irn",78,"Asie","Iran","Irak",439000,439000,29600000,29000000,29500000,30000000,31500000,32700000,33700000,35100000,35100000,37100000,37500000,38700000,39300000,39300000,40200000,41100000,44400000,45500000,46000000,47000000,67,66,67,68,72,74,77,80,80,85,85,88,90,90,92,94,101,104,105,107
"irq",79,"Asie","Iraq","Iran",1635000,1635000,70300000,71200000,72200000,73200000,75000000,77900000,75600000,76500000,76500000,78500000,80000000,80900000,82000000,82900000,84000000,85000000,85500000,89100000,91000000,92400000,43,44,44,45,46,48,46,47,47,48,49,49,50,51,51,52,52,54,56,57
"irl",80,"Europe","Ireland","Irlande",70000,70000,4200000,4400000,4500000,4500000,4500000,4600000,4600000,4600000,4600000,4600000,4700000,4700000,4700000,4900000,4900000,4900000,5000000,5000000,5200000,5300000,60,63,64,64,64,66,66,66,66,66,67,67,67,70,70,70,71,71,74,76
"isl",81,"Europe","Iceland","Islande",103000,103000,300000,300000,300000,300000,300000,300000,300000,320000,320000,330000,332000,334000,338000,340000,341000,343000,373000,375000,393000,398000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
"isr",82,"Asie","Israel","Israël",21000,21000,7200000,7300000,7500000,7600000,7300000,7900000,7700000,8100000,8100000,8400000,8200000,8300000,8400000,8500000,8500000,8800000,9000000,9100000,9300000,9500000,343,348,357,362,348,376,367,386,386,400,390,395,400,405,405,419,429,433,443,452
"ita",83,"Europe","Italy","Italie",302000,302000,59000000,59300000,59900000,60300000,60100000,60800000,61000000,59800000,59800000,62500000,59800000,59800000,59300000,60600000,60500000,60300000,59000000,58800000,59300000,59100000,195,196,198,200,199,201,202,198,198,207,198,198,196,201,200,200,195,195,196,196
"jam",84,"Amérique","Jamaica","Jamaïque",11000,11000,2700000,2700000,2700000,2700000,2700000,2700000,2800000,2700000,2700000,2700000,2800000,2800000,2900000,2900000,2900000,2900000,2900000,2800000,2800000,2800000,245,245,245,245,245,245,255,245,245,245,255,255,264,264,264,264,264,255,255,255
"jpn",85,"Asie","Japan","Japon",378000,378000,127800000,127700000,127700000,127600000,127000000,128100000,126400000,127300000,127300000,126900000,126300000,126000000,127200000,126900000,126500000,126000000,124000000,123300000,123700000,123100000,338,338,338,338,336,339,334,337,337,336,334,333,337,336,335,333,328,326,327,326
"jor",86,"Asie","Jordan","Jordanie",89000,89000,5600000,5700000,5800000,5900000,6500000,6600000,6500000,7300000,7300000,8100000,7700000,7900000,9900000,10100000,10200000,10200000,11300000,11300000,11500000,11500000,63,64,65,66,73,74,73,82,82,91,87,89,111,113,115,115,127,127,129,129
