"Key","Isolation Index","Island","Country","Territory","ISO_3","ISO_3","ISO_3","Ancien ISO_3","Island or Archipelago","Nearest Island distance","Group distance","Continent","Nearest Continent distance","Area","Area (km²)","Shoreline (km)","Coastal Index","Altitude (m)","Scale","Latitude","Longitude","Population","Alternate Names 1","Alternate Names 2","Alternate Names 3","Alternate Names 4","Alternate Names 5","Alternate Names 6","Alternate Names 7","Alternate Names 8","Ordination PNUE","Ordination Mathematica","Characteristic","Claimed by","Included Islands","Percent Country 1","Percent Country 2","Percent Country 3","Type","Nombre d'identifiants - Ile"
48.,"inc","Coulman Island","Administered under the Antarctic Treaty System by New Zealand","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",343.,87.5,0.25510204081632654,1999.,2.5e6,-73.483,169.75,0.,"Coulman","","","","","","","",1938.,22.,"","","","","","","sur la carte",1.
49.,"inc","Dean Island","Administered under the Antarctic Treaty System","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",702.,"inc","inc","inc","inc",-74.5,-127.58333,0.,"","","","","","","","",1940.,"","","","","","","","sur la carte",1.
50.,25.97617696340303,"Deception Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands",25.,110.,"Antarctica",110.,"Southern region",137.,70.7,0.516058394160584,"inc",2.5e6,-62.97694,-60.65,0.,"","","","","","","","",1941.,23.,"","","","","","","sur la carte",1.
51.,"inc","Dolleman Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",0.,"inc","inc","inc","inc",-70.61666,-60.75,0.,"","","","","","","","",1942.,"","","","","","","","sur la carte",1.
52.,"inc","Drygalski Island","Administered under the Antarctic Treaty System by Australia","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",694.,117.9,0.16988472622478387,510.,2.5e6,-65.75,92.5,0.,"Drygalski","","","","","","","",1943.,24.,"","","","","","","sur la carte",1.
53.,"inc","Dufayel Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-62.166667,-58.566667,0.,"","","","","","","","","",25.,"","","","","","","pas sur la carte",1.
54.,"inc","Dundee Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","Joinville Island Group","inc","inc","inc","inc","Southern region",383.3,77.5,0.20219149491260108,600.,2.5e6,-63.469865,-55.972881,0.,"Dundee","","","","","","","",1944.,26.,"","","","","","","sur la carte",1.
55.,"inc","D'Urville Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","Joinville Island Group","inc","inc","inc","inc","Southern region",455.3,94.5,0.2075554579398199,210.,2.5e6,-63.081,-56.35,0.,"D'Urville","","","","","","","",1939.,27.,"","","","","","","sur la carte",1.
56.,"inc","Dustin Island","Administered under the Antarctic Treaty System","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",286.,84.3,0.2947552447552447,610.,2.5e6,-72.566667,-94.8,0.,"","","","","","","","",1945.,28.,"","","","","","","sur la carte",1.
57.,"inc","Early Islands","Administered under the Antarctic Treaty System","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-73.667,-101.667,0.,"","","","","","","","","",29.,"","","","","","","pas sur la carte",1.
58.,"inc","Einstødingen Island","Administered under the Antarctic Treaty System by Norway","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-69.65,38.833,0.,"","","","","","","","","",87.,"","","","","","","pas sur la carte",1.
59.,35.019233815695124,"Elephant Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands",29.,200.,"Antarctica",240.,"Southern region",558.,134.,0.24014336917562723,"inc",2.5e6,-61.15,-55.1,"inc","Elephant","","","","","","","",1946.,30.,"","","","","","","sur la carte",1.
60.,"inc","Enterprise Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-64.5333,-61.9986,0.,"Isla Lientur","Isla Nansen Norte","North Nansen Island","","","","","","",31.,"","","","","","","pas sur la carte",1.
61.,"inc","Ewing Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",0.,"inc","inc","inc","inc",-69.9,-61.21666,0.,"","","","","","","","",1947.,"","","","","","","","sur la carte",1.
62.,"inc","Figueroa Point","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-62.445028,-59.724,0.,"","","","","","","","","",88.,"","","","","","","pas sur la carte",1.
63.,18.973665961010276,"Forrester Island","Administered under the Antarctic Treaty System","Antarctic Islands","ata","","","","",40.,40.,"Antarctica",40.,"Southern region",132.,42.7,0.32348484848484854,"inc",2.5e6,-74.192,-132.423,0.,"Forrester","","","","","","","",1948.,32.,"","","","","","","pas sur la carte",1.
64.,"inc","Galiche Rock","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-62.39528,-59.34806,0.,"","","","","","","","","",89.,"","","","","","","pas sur la carte",1.
65.,11.618950038622252,"Gillock Island","Administered under the Antarctic Treaty System by Australia","Antarctic Islands","ata","","","","",15.,15.,"Antarctica",15.,"Southern region",0.,"inc","inc","inc","inc",-70.239976,71.826039,0.,"","","","","","","","",1949.,"","","","","","","","sur la carte",1.
66.,"inc","Grant Island","Administered under the Antarctic Treaty System","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",768.,119.2,0.15520833333333334,580.,2.5e6,-74.42,-131.26,0.,"","","","","","","","",1950.,33.,"","","","","","","sur la carte",1.
67.,25.396369939967343,"Greenwich Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands",3.,140.,"Antarctica",140.,"Southern region",174.,78.6,0.45172413793103444,"inc",2.5e6,-62.517,-59.783,0.,"Sartorius Island","Berezina Island","","","","","","",1951.,34.,"","","","","","","sur la carte",1.
68.,"inc","Griffith Island","Administered under the Antarctic Treaty System by Australia","Antarctic Islands","ata","","","","Windmill islands","inc","inc","inc","inc","Southern region",189.,"inc","inc","inc","inc",-66.33521,110.487,0.,"","","","","","","","","",35.,"","","","","","","pas sur la carte",1.
69.,"inc","Hearst Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",871.,"inc","inc",365.,"inc",-69.416667,-62.166667,"inc","","","","","","","","",1952.,36.,"","","","","","","sur la carte",1.
70.,9.486832980505138,"Henderson Island","Administered under the Antarctic Treaty System by Australia","Antarctic Islands","ata","","","","",10.,10.,"Antarctica",10.,"Southern region",186.,58.,0.3118279569892473,252.,2.5e6,-66.36,97.24,0.,"Henderson","","","","","","","",1953.,37.,"","","","","","","sur la carte",1.
71.,"inc","Henfield Rock","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-62.312722,-59.58425,0.,"","","","","","","","","",90.,"","","","","","","pas sur la carte",1.
72.,"inc","Holmes Rock","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-62.383,-59.835,0.,"","","","","","","","","",91.,"","","","","","","pas sur la carte",1.
73.,"inc","Inaccessible Islands","Administered under the Antarctic Treaty System by Argentina and United Kingdom","Antarctic Islands","ata","","","","South Orkney Islands","inc","inc","inc","inc","Southern region","inc","inc","inc",95.,"inc",-60.567,-46.733,0.,"Islas Inaccesibles","","","","","","","","",2129.,"","","","","","","pas sur la carte",1.
74.,"inc","James Ross Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","James Ross Island Group","inc","inc","inc","inc","Southern region",2598.4,392.6,0.1510929802955665,1628.,2.5e6,-64.167,-57.75,0.,"","","","","","","","",1954.,41.,"","","","","","","sur la carte",1.
75.,"inc","Joinville Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","Joinville Island Group","inc","inc","inc","inc","Southern region",1607.4,225.8,0.14047530172950107,765.,2.5e6,-63.25,-55.75,0.,"Joinville","","","","","","","",1955.,42.,"","","","","","","sur la carte",1.
76.,25.909110990204876,"King George Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands",2.,150.,"Antarctica",150.,"Southern region",1384.,297.1,0.21466763005780348,655.,2.5e6,-62.011,-58.397,500.,"King George","Isla 25 de Mayo","Isla Waterloo","","","","","",1956.,43.,"","","","","","","sur la carte",1.
77.,"inc","Latady Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",3300.,"inc","inc","inc","inc",-70.75,-74.583333,0.,"","","","","","","","",1957.,44.,"","","","","","","sur la carte",1.
78.,51.8181928856438,"Laurie Island","Administered under the Antarctic Treaty System by Argentina and United Kingdom","Antarctic Islands","ata","","","","South Orkney Islands",9.,500.,"Antarctica",700.,"Southern region","inc","inc","inc",940.,"inc",-60.72861,-44.51806,0.,"","","","","","","","",1958.,45.,"","","","","","","sur la carte",1.
79.,"inc","Lavoisier Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","Biscoe Islands","inc","inc","inc","inc","Southern region",265.,89.5,0.33773584905660375,"inc",2.5e6,-66.2,-66.8,0.,"Lavoisier","","","","","","","",1959.,46.,"","","","","","","sur la carte",1.
80.,"inc","Liard Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",233.,66.1,0.2836909871244635,1000.,2.5e6,-66.824284,-67.417594,0.,"","","","","","","","",1960.,47.,"","","","","","","sur la carte",1.
81.,23.640953107775523,"Livingston Island","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands",3.,120.,"Antarctica",120.,"Southern region",974.,291.5,0.29928131416837783,914.,2.5e6,-62.6,-60.5,0.,"Livingston","","","","","","","",1961.,48.,"","","","","","","sur la carte",1.
82.,"inc","Low Rock","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands","inc","inc","inc","inc","Southern region",181.2,63.9,0.3526490066225166,"inc",2.5e6,-63.311,-62.11,0.,"Low Island","Isla Baja","Jameson Island","Jamesons Island","","","","",1962.,49.,"","","","","","","sur la carte",1.
83.,13.872983346207416,"Masson Island","Administered under the Antarctic Treaty System by Australia","Antarctic Islands","ata","","","","",15.,25.,"Antarctica",25.,"Southern region",585.4,91.3,0.15596173556542536,471.,2.5e6,-66.14,96.65,0.,"Masson","Mission Island","","","","","","",1963.,50.,"","","","","","","sur la carte",1.
84.,"inc","Mikhaylov Island","Administered under the Antarctic Treaty System by Australia","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",630.,"inc","inc",241.,"inc",-66.864014,85.96688,0.,"","","","","","","","",1964.,"","","","","","","","sur la carte",1.
85.,"inc","Mill Island","Administered under the Antarctic Treaty System by Australia","Antarctic Islands","ata","","","","","inc","inc","inc","inc","Southern region",1258.1,134.8,0.10714569589062875,326.,2.5e6,-65.52,100.79,0.,"","","","","","","","",1965.,51.,"","","","","","","sur la carte",1.
86.,"inc","Morris Rock","Administered under the Antarctic Treaty System by Argentina, Chile and United Kingdom","Antarctic Islands","ata","","","","South Shetland Islands","inc","inc","inc","inc","Southern region","inc","inc","inc","inc","inc",-62.368694,-59.796556,0.,"","","","","","","","","",92.,"","","","","","","pas sur la carte",1.
